"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Amaranth (Slender)","Amaranthus, various species","abdomen, astringent, bleeding, menstrual, gargle","Abdomen and associated organs (intestines, liver, spleen, ¤etc.).¤ astringent, reduces excessive bleeding during menstrual ¤period, from diarrhea, and from bowels (drink or enema).¤  wash for ulcers, sores, hives; gargle for throat and ¤mouth","","","also called: Amaranthus Viridis","","","Herb"
"Asarum Canadense","Asarum Canadense","abdomen, eyes","abdomen and associated organs.¤eyes¤¤also called: black snakeweed, canada snakeroot, canadian ¤wild ginger, coltsfoot snakeroot, false coltsfoot, heart ¤snakeroot, indian ginger, southern snakeroot, vermont ¤snakeroot, wild ginger","","","","","","Herb"
"Pigeon-Pea","Cajanus Cajan","abdomen and organs","abdomen and associated organs¤","","","","","","Herb"
"Setifolia","","abdominal organs","abdomen and associated organs","","","also called: beach she-oak, ironwood, she-oak, toa","","","Herb"
"Chulta (Elephant Apple)","Dillenia Indica","abdominal","abdominal organs","","","","","","Herb"
"St. Thomas Bean","Entada Phaseoloides","abdominal","abdominal organs","","","also called: drinking vine, sipi","","","Herb"
"Galanga (Maraba)","Kaempferia Galanga","abdominal organs, throat","abdominal organs¤throat","","","","","","Herb"
"Creosote Bush (Chaparral)","Larrea Divaricata","abdominal, knee/joint, antibiotic","abdominal organs, intestine¤knee¤Antibiotic vs bacteria, viruses, and parasites¤folk treatment for cancer¤¤other names: chaparro, dwarf evergreen oak, gobonadora, ¤greasewood","","","","","","Herb"
"Chocolate-weed","Melochia Corchorifolia","abdominal organs","abdominal organs","","","","","","Herb"
"Balsam-Pear (Bitter Gourd)","Momordica Charantia","abdominal, organs, skin, diabetes","abdominal organs, bladder, liver, spleen¤skin¤¤regulate blood sugar (5 grams powdered or 50 milliters ¤extract per day), diabetes","","","","Avoid during Pregnancy","","Herb"
"Indian Mulberry","Morinda Citrifolia","abdominal organs, chest, kidney, eye, pain","abdominal organs, kidney¤pain killer¤breast, chest¤eye","","","","","","Herb"
"Nutmeg","Myristica fragrans","abdominal organs, gas","abdominal organs, intestine¤gas","","","","","","Herb"
"Peperomia","","abdominal organs, eyes, skin","abdominal organs¤chest¤Arid Land Peperomia: eyes, skin","","","also called: man-to-man","","","Herb"
"Chickenweed","Portulaca Quadrifida","abdominal, bladder","abdominal organs¤bladder","","","","","","Herb"
"Canadian Burnet","Sanguisorba Canadensis","abdominal","abdominal organs","","","","","","Herb"
"Cicely, Sweet","Myrrhis Odorata","diabetic sweetener","used as a sweetener for saving about half the sugar¤useful for diabetics","anise-scented leaves and stalk","","","none","","Herb"
"Common sow-thistle","Sonchus Oleraceus","abdominal","abdominal organs, liver, stomach","","","also: california dwarf sunflower, lacy tansy-aster","","","Herb"
"Yellow Necklepod","Sophora Tomentosa","abdominal","abdominal organs, stomach","","","","","","Herb"
"Caesarweed","Urena Lobata","abdominal, repiratory, intestine","abdominal organs, bladder, intestine, stomach¤lungs","","","","","","Herb"
"Chloranthus Officinalis","Chloranthus Officinalis","ankle","ankle, joint","","","","","","Herb"
"Sessile Joyweed","Alternanthera Sessilis","anus","anus","","","","","","Herb"
"Caraway","Carum Carvi","anus, gas","anus¤digestion, gas","","","","","","Herb"
"Bay Hops","Ipomoea Pes-Caprae","anus","anus","","","","","","Herb"
"Brahmi","","concentration, memory, anxiety","improves memory in anxiety-prone people.¤reduces stress","","India","takes at least 2 weeks for effects to be felt","","","Herb"
"Acacia, Whitethorn ","","stomach","stomach","","","","","","Herb"
"Guaiacum (Guaiac Wood)","Holywood Lignum-Vitae","back, breast, skin","back¤breast¤skin","","","","","","Herb"
"Ocimum Gratissimum","Ocimum Gratissimum","back","back pain","","","","","","Herb"
"Leptospermum Ericoides","Leptospermum Ericoides","breath, eye","breath¤eye","","","","","","Herb"
"Pouzolzia Denudata","Pouzolzia Denudata","eye","eye (veterinary)","","","","","","Herb"
"Priva Cordifolia","Priva Cordifolia","eyeball","eyeball","","","","","","Herb"
"Sansevieria Thyrsiflora","Sansevieria Thyrsiflora","eyelash","eyelash","","","","","","Herb"
"Adoxynol (Anneda Pine Tree)","","antioxidant, 50X's more potent than Vitamin E","atherosclerosis, week veins (including edema, varicose ¤veins,...), arthritis¤skin: Anti UV. anti allergy¤heart, vision, stress ulcers¤abnormal growths¤¤brand name: Oxyspectro by Gero Vita Laboratories","Anneda Pine tree: bark/needles","Quebec","active ingredient of Proanthocyanidin","none","","Herb"
"Vinegar, Apple Cidar","","general cure all, anti-oxidant, antiseptic","digestion, cholesterol, ear, hair, cramps, osteoporosis¤rashes, insect bites, high blood pressure, circulation, ¤colds, burns, cataracts, nausea, skin, sunburn, health¤anti-oxidant¤Externally: deodorant, antiseptic, dandruff, vaginitis","liquid","apples","drunk, or externally applied, as appropriate","none","","FruitVeggy"
"Sage (Red Sage, Garden Sage)","Salvia Officinalis","throat, antioxidant, hair, Alzheimer's","throat (gargle, laryngitis, tonsils, mouth ulcers, ¤cankers, etc.)¤bad breath, canker sores¤yeast infections¤astringent, wrinkles¤circulation, digestion¤hair¤Alzheimer's¤anti-inflamatory¤Rubbed against teeth/gums: gingivitis¤Prairie Meadow Sage: eyes¤¤dose: 1/2 pint hot malt vinegar on 1oz leaves, then 1/2 ¤pint cold water for solution; internal dose: 1/2 cup ¤2Xs/day.","","anywhere","herb used in cooking","high dosage: possible convulsions","","Herb"
"Zinc Arginate","","prostate","reduces prostate enlargement¤works with pyridoxine for full benefit¤","brand name: Prostata","distr:  Life Force products","","","","Mineral"
"Glucosamine Sulfate","","arthritis, joints, cartilage","nourish joints and cartilage¤arthritis cure","","","full name: Glucosamine Chondroitin Sulfate","none","","Mineral"
"Coenzyme Q10","","cancer cure, heart, immune system","supports heart and immune system, cardiac arrhythmia¤prevents/heals heart disease¤Cancer cure","","","is an enzyme","","","Enzyme"
"L-Carnitine","","fat","fat burner","","","","none","","Amino Acid"
"Rose Hips","","Anti-oxidant","antioxidant¤immune system","off a rose","anywhere","made into jam or tea","none","","Herb"
"Fish Oil","","source Omega-3 fatty acids","contains the 2 Omega-3 fatty acids:  EPA (eicosapentaenoic ¤acid), DHA (docosahexaenoic acid)","","fish","","none","","Amino Acid"
"Calcium","","skeletal, nerves. blood","bones, muscle growth¤normalizes blood clotting¤rhythmic heart action, transmission of nerve impulses¤Osteoporois","","milk products, vegy","","none","","Mineral"
"Chromium","","metabolism, cholesterol","carbohydrate utilization¤metabolizes glucose, fatty acids, & cholesterol¤brings protein where needed","","unsaturated fats, meats, grain","","none","","Mineral"
"Copper","","blood, nerves, RNA, bones","production of hemoblobin¤proper bone formation¤healthy nerves¤RNA¤","","liver, grain, greens, grain","","none","","Mineral"
"Iron","","blood","blood quality","","meat, liver, grains, fruit","","none","","Mineral"
"Magnesium","","nerves, muscles, bones, heart","protects arterial lining from sudden stress¤nerves, heart¤muscles¤helps calcium with bones so that calcium won't damage ¤bones.¤prevents respiratory diseases, bronchitis¤Prevents headaches in those prone (600 milligrams/day)","","nuts, grains, green vegy, soy","","none","","Mineral"
"Manganese","","skeletal, hormone, nerves, brain","production of nerves, carbohydrate, & fat production¤sex hormone¤brain","","egg yolks, wheat germ, beans","","none","","Mineral"
"Phosphorus","","cell repair,energy production,skeletal,tooth,nerve","energy utilization¤cell repair¤proper skeletal growth, tooth development¤kidney function¤nerve transmission","","meat, fish, eggs, grain,","","none","","Mineral"
"Potassium","","muscles, nerves, heart, blood","mineral balance of blood, stable blood pressure, heart¤works w/ sodium for water balance¤muscles, nerves","","vegy, grain, potatoes, banana","","none","","Mineral"
"Selenium","","antioxidant, cancer, heart, growth","antioxidant, body growth, fertility¤vision¤reduces colon, lung, and prostate cancer¤heart functioning¤","","bran, broccoli, tuna, tomatoes","also in high-selenium yeast","none","","Mineral"
"Zinc","","healing, new cells, digestion, prostate, pregnancy","healing, new cells¤digestion, metabolism¤Reproductive organs; reduces chance of low-birth-weight ¤babies during pregnancy.¤normal functioning of prostate gland¤vision, night vision¤cataracts¤colds, coughs, headaches, nasal congestion","","yeast, beans, nuts, seeds","Zinc deficiency may contribute to body odor","","","Mineral"
"Vitamin A","","anti-oxidant, cell growth, eye-sight, malaria","cell growth¤healthy skin, bones and teeth, good blood¤kidneys, bladder, membranes¤eyesight¤Malaria prevention in children","","fish liver oils, carrot, veggy","fat soluable","","","Vitamin"
"Beta Carotene","","antioxidant, HIV","source of vitamin A¤antioxidant¤HIV","","dark green leafy veggy","","","","Vitamin"
"B-1 (Thiamine)","","metabolizes sugar, heart, stress","metabolizes sugar¤nervous system¤heart, muscles¤stress¤","","molasses, yeast, wheat, rice","","","","Vitamin"
"B-2 (Riboflavin)","","blood, antibody, muscle, vision, hair","red blood cell formation, antibody production¤muscle tone, cell growth/respiration¤vision¤hair, skin, nails","","milk, eggs. yeast, organ meat","","","","Vitamin"
"B-5 (Pantothenic Acid)","","hormones, antobodies, metabolism, glands, nerves","forms certain hormones & antibodies¤energy & metabolism¤circulation¤digestive tract, skin, glands¤nerves¤convert fat and sugar to energy","","organ meat, yeast,banana,grain","","","","Vitamin"
"B-6 (Pyridoxine)","","nervous system, blood, antibodies, proteins","used in numerous body functions¤protein & fat utilization¤red blood cell & antibody production¤nervous system¤destroy non-beneficial enzyme homocysteine","","meat, grain, yeast,banana,milk","","","","Vitamin"
"B-12 (Cyanocobalamin)","","blood, growth, nervous, brain, digestion","Powerful blood building factor¤new cell growth¤nervous system including brain¤digestion and food absorption¤destroy non-beneficial enzyme homocysteine","","liver,kidney, fish, dairy,egg","","","","Vitamin"
"B-Complex","","energy, nervous, hair, skin, eyes, muscle","all B-Vitamins put together; coenzymes involved in energy ¤production, nervous system, hair, skin, eyes, liver, mouth ¤& gastrointestinal tract, muscle tone","","yeast, liver, whole grain","","","","Vitamin"
"Biotin","","metabolism,amino acids,RNA,DNA,sweat glands,hair","involved in metabolism of fats & energy production¤synthesizes Amino and fatty acids, forms RNA & DNA¤healthy sweat glands¤nerve tissue, skin, hair, bone marrow","","yeast, liver,kidney,rice,soy","also called vitamin H","","","Vitamin"
"Vitamin C (Ascorbic Acid)","","collagen, antioxidant, healing, blood, stress","collagen formation¤antioxidant¤red blood cell production¤fights bacterial infections¤physical stress; lowers stress when in large doses ¤(~several grams/day)¤anti-histamine, allergy, asthma, bronchitis¤osteoarthritis¤colds and flu¤glaucoma¤HIV¤male infertility","","fruits, berries,rose hips","","","","Vitamin"
"Choline","","nerves, hormones, kidney, bladder, fat","nerve transmission¤fat utilization¤hormone production¤kidney, bladder","","eggs, dairy,fish liveroil,tuna","","","","Vitamin"
"Vitamin D (Calciferol)","","bones, teeth, muscles, blood","helps utilize calcium & phosphorus¤strong bones, teeth, prevents rickets¤protects vs muscle weakness¤regulates heart¤blood clotting","","egg, fish, dairy, tuna","","","","Vitamin"
"Vitamin E (Tocopherol)","","antioxidant, blood","antioxidant¤clotting, healing¤prolongs life of red blood cells","","veggy oil, wheat germ, liver","","","","Vitamin"
"Folic Acid (a B-Vitamin)","","nucleic acids, blood, pregnancy, growth","synthesize RNA, DNA¤red blood cells production¤growth¤reproduction/pregnancy¤destroy non-beneficial enzyme homocysteine","","yeast,liver,green leafy veggy","","","","Vitamin"
"Inositol","","fats, cholesterol. brain, hair","metabolism of fats & cholesterol¤brain cell nutrition¤hair growth","","whole grain,citrus fruit,yeast","","","","Vitamin"
"K Vitamins","","blood clotting, liver","formation of prothrombin which is required in blood ¤clotting¤liver functioning¤calcium absorption","","kelp, alfalfa, yogurt,fish oil","","","","Vitamin"
"PABA (B-Vitamin)","","hair, skin, blood, metabolism","utilization of proteins, fats, & carbohydrates¤blood cell formation¤hair, skin¤helps utilize protein","","liver, yeast, grain, molasses","","","","Vitamin"
"Vitamin P (Bioflavonoid,Rutin)","","vitamin C absorption, builds resistance","part of the C-Complex¤function and absorption of vitamin C¤builds resistence to colds/flu","","buckwheat, fruits","","","","Vitamin"
"Papain","","reduces inflamation and tumors, gastric","reduces inflamation, stimulates Tumor Necrosis Factor ¤(TNF) which destroys growths¤destroys bacteria associated with stomach disorders like ¤gastritis & ulcers","","papaya","","none","","Enzyme"
"Bromelain","","swelling,joints burns,skin,fat,metabolism,wt. loss","Flushes fat from body, rids excess fluids¤Stimulates metabolism¤Reduce swelling & inflamation of joints¤burns, thrombosis, cellulitis and skin infections¤healing of bruises, abrasions, & contusions¤Reduces blood clotting & blood pressure¤varicose veins¤bronchitis, sinus problems","","Pineapple stem","","none","","Enzyme"
"Trypsin","","healing, blood, immune system","inujury healing¤assists immune system¤reduces blood stickiness from phlebitis, emboli, & ¤thromboses¤dissolve fibrin covering of growth cells","","Ox pancreas","","none","","Enzyme"
"Lipase","","pancreas, digestion","improves function of pancreas¤improves digestion","","Aspergillus","","none","","Enzyme"
"Chymotrypsin","","growths, blood stickiness","helps immune system identify growths¤dissolve the fibrin covering growths¤reduces blood stickiness that helps growths spread","","Animal organs","","none","","Enzyme"
"Rutin","","antioxidant, anti-viral/bacterial, veins","free radical scavenger¤destroys some viruses and numerous bacteria¤repairs varicose veins and capillaries","","several plants","","none","","Enzyme"
"Pancreatin","","digestion","improves digestion","","Animal organs","","none","","Enzyme"
"Amylase","","digestion, nutrient absorption","works w/ other enzymes to digest food, improves absorption ¤of nutrients from food","","Aspergillus","","none","","Enzyme"
"Turmeric","Curcuma Longa, Curcuma Domestica","arthritis, anti-inflamatory, liver, antioxidant","arthritis relief, gout, pain, headache, swelling¤Amenorrhea, diabetes¤prevents cataracts, stroke¤source vitamins E & C¤anti-inflammatory, bursitis, tendinitis¤carpal tunnel syndrome¤gallstones, liver, hepatitis, ulcers, worms¤Externally as an oil: athlete's foot, fungus, bunions, ¤lice, scabies¤anticancer","a spice plant","India, SE Asia","used in curries","none","","Herb"
